operation,backend,m,experts,active_experts,repeated_offsets,k,n,dtype,device,architecture,layout,p50_us,p90_us,p99_us,mean_us,min_us,max_us,tflops_p50
gate_up,grouped_mm,1,8,1,7,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,89.56799656152725,90.7519981265068,96.70495875179768,89.61535967886448,87.42400258779526,96.79999947547913,2.622376663730023
gate_up,matmul,1,8,1,7,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,55.58399856090546,56.55039846897125,58.20671968162061,55.52511986345053,53.0879981815815,61.24800071120262,4.225694985628501
gate_up,grouped_mm,2,8,2,6,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,152.8479978442192,154.36799824237823,157.65247330069545,153.0655997991562,150.81599354743958,159.67999398708344,3.0733935323037445
gate_up,matmul,2,8,2,6,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,96.6079980134964,98.05760160088539,99.649278819561,96.65536001324654,93.24800223112106,99.7759997844696,4.862558563053682
gate_up,grouped_mm,4,8,4,4,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,259.13599133491516,260.73598861694336,264.945612847805,259.34111982584,257.1839988231659,266.6879892349243,3.6256024921900205
gate_up,matmul,4,8,4,4,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,178.96000295877457,180.49600273370743,183.08352455496814,179.53600004315376,175.52000284194946,231.74400627613068,5.2499110441813635
gate_up,grouped_mm,8,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,463.5680019855499,465.37598967552185,466.92800134420395,463.60351979732513,459.9680006504059,468.51199865341187,4.053446708900699
gate_up,matmul,8,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,342.27199852466583,344.31999921798706,344.9503886699677,342.28639990091324,338.20798993110657,350.3359854221344,5.48992672523454
gate_up,grouped_mm,16,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,436.91200017929077,438.96321058273315,441.9657501578331,436.9171205163002,431.4880073070526,443.32799315452576,8.601494997752022
gate_up,matmul,16,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,347.9680120944977,350.0480055809021,351.3542255759239,347.9948800802231,344.31999921798706,353.95199060440063,10.800120279387675
gate_up,grouped_mm,32,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,418.65599155426025,420.4351991415024,425.26911705732346,418.6031997203827,414.94399309158325,427.35999822616577,17.953147499683777
gate_up,matmul,32,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,350.816011428833,352.8351902961731,353.9289724826813,350.71392208337784,345.5680012702942,354.8159897327423,21.424885190922208
gate_up,grouped_mm,64,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,438.32001090049744,439.9967908859253,442.1552065014839,438.5097602009773,435.4879856109619,443.2640075683594,34.295458026470264
gate_up,matmul,64,8,8,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,358.2080006599426,360.2304071187973,361.9974544644356,358.1424009799957,354.3680012226105,363.3280098438263,41.965521452075784
gate_up,grouped_mm,1,64,1,63,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,86.71999722719193,88.00959959626198,92.09952093660831,86.8732799589634,84.99199897050858,92.44800359010696,2.7084989795911882
gate_up,matmul,1,64,1,63,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,55.15199899673462,56.038398295640945,56.66079893708232,55.10399989783764,52.671998739242554,61.88800185918808,4.258794391367511
gate_up,grouped_mm,2,64,2,62,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,149.6639996767044,151.24480426311493,153.82912158966064,149.823679625988,147.5840061903,154.33600544929504,3.1387778558287436
gate_up,matmul,2,64,2,62,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,96.6079980134964,97.80479967594147,104.61887933313847,96.6476795822382,94.14400160312653,105.69600015878677,4.862558563053682
gate_up,grouped_mm,4,64,4,60,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,258.11199843883514,259.8432093858719,262.92064517736435,258.37663918733597,255.90398907661438,263.7760043144226,3.6399861365710175
gate_up,matmul,4,64,4,60,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,180.12799322605133,181.67360424995422,189.90176051855087,180.4355202615261,177.824005484581,191.26400351524353,5.215869444683958
gate_up,grouped_mm,8,64,8,56,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,463.3760005235672,465.11998772621155,466.96256905794144,463.42048078775406,459.55199003219604,468.80000829696655,4.055126268682169
gate_up,matmul,8,64,8,56,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,345.42399644851685,347.3983943462372,349.4761463999748,345.5260819196701,342.303991317749,349.88799691200256,5.43983108098878
gate_up,grouped_mm,16,64,16,48,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,882.4159801006317,886.6911947727203,890.1519906520844,882.7350407838821,873.9519715309143,890.9440040588379,4.258871630556172
gate_up,matmul,16,64,16,48,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,678.3200204372406,681.0336112976074,684.7638303041458,678.5295993089676,673.5360026359558,697.0239877700806,5.5402999628074605
gate_up,grouped_mm,32,64,32,32,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,1621.2159991264343,1633.5103750228882,1641.8633747100835,1622.3721575737,1597.1200466156006,1740.8000230789185,4.63614519721615
gate_up,matmul,32,64,32,32,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,1339.7279977798462,1343.459165096283,1346.294071674347,1339.8572778701782,1333.5679769515991,1348.479986190796,5.610237884447881
gate_up,grouped_mm,64,64,64,0,4096,28672,bfloat16,cuda:0,sm_103a,transpose_view_EKN,3060.528039932251,3079.4527292251587,3090.566971302033,3062.3817658424377,3038.8801097869873,3176.800012588501,4.911696720260325
